"고용형태","한국표준직업분류6차",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"고용형태","한국표준직업분류6차",총근로일수 (일),총근로시간 (시간),소정실근로시간 (시간),초과근로시간 (시간),휴일근로시간 (시간),시간당임금총액 (원),시간당정액급여 (원),월임금총액 (천원),월급여액 (천원),정액급여 (천원),초과급여 (천원),전년도 연간특별급여/12개월 (천원),전년도 연간특별급여 (천원)
"전체근로자","전직종",21.0,171.1,161.6,9.5,3.1,16709,14690,2833,2498,2347,151,336,4027
"전체근로자","관리자(1)",21.4,175.3,169.7,5.6,1.9,48134,40443,8279,6981,6831,150,1298,15577
"전체근로자","전문가 및 관련 종사자(2)",21.0,167.9,162.2,5.7,1.6,20858,18298,3435,2989,2886,103,446,5352
"전체근로자","사무 종사자(3)",21.5,174.7,169.1,5.6,1.6,19310,16723,3348,2910,2813,97,438,5256
"전체근로자","서비스 종사자(4)",20.1,148.0,143.0,5.0,1.5,9196,8888,1369,1323,1260,63,46,550
"전체근로자","판매 종사자(5)",21.0,166.1,161.1,4.9,1.5,13538,12326,2306,2102,2032,70,203,2438
"전체근로자","농림어업 숙련 종사자(6)",19.8,162.2,154.3,7.9,3.6,13046,12417,2001,1888,1785,103,114,1365
"전체근로자","기능원 및 관련 기능 종사자(7)",19.6,164.7,153.1,11.6,4.4,16251,14655,2566,2317,2127,190,249,2994
"전체근로자","장치,기계조작 및 조립종사자(8)",22.3,196.1,169.7,26.4,9.0,14654,12036,2848,2435,2021,415,412,4948
"전체근로자","단순노무 종사자(9)",19.6,163.0,153.1,10.0,3.1,10212,9697,1584,1515,1390,126,68,818
"전체근로자(특수형태포함)","전직종",-,-,-,-,-,-,-,2823,2503,2359,144,320,3838
"전체근로자(특수형태포함)","관리자(1)",-,-,-,-,-,-,-,8279,6981,6831,150,1298,15577
"전체근로자(특수형태포함)","전문가 및 관련 종사자(2)",-,-,-,-,-,-,-,3368,2943,2845,98,425,5102
